protocol_version	route_id	sequence	lesson_slug	status	checkpoint_after
1.2	complete-18	1	00-cross-platform-setup-and-first-frame	required	none
1.2	complete-18	2	01-a-mark-that-moves	required	none
1.2	complete-18	3	02-python-to-cpp-survival-kit	required	none
1.2	complete-18	4	00-first-cpp-test-interlude	required	unit-0
1.2	complete-18	5	03-map-clamp-and-lerp	required	none
1.2	complete-18	6	04-vectors-direction-and-distance	required	none
1.2	complete-18	7	05-oscillation-circles-and-phase	required	none
1.2	complete-18	8	06-controlled-chance	required	none
1.2	complete-18	9	07-local-coordinate-systems	required	none
1.2	complete-18	10	08-gesture-as-geometry	required	unit-2
1.2	complete-18	11	09-particles-with-memory	required	none
1.2	complete-18	12	10-forces-steering-and-springs	required	none
1.2	complete-18	13	11-noise-and-flow-fields	required	none
1.2	complete-18	14	12-color-blending-and-trails	required	none
1.2	complete-18	15	13-time-as-a-drawable-axis	required	none
1.2	complete-18	16	14-images-and-type-as-geometry	required	none
1.2	complete-18	17	15-embodied-audio-input	required	none
1.2	complete-18	18	16-three-cumulative-sketch-studies	required	none
1.2	complete-18	19	17-original-visual-instrument-capstone	required	complete-path
1.2	core-12	1	00-cross-platform-setup-and-first-frame	required	none
1.2	core-12	2	01-a-mark-that-moves	required	none
1.2	core-12	3	02-python-to-cpp-survival-kit	required	none
1.2	core-12	4	00-first-cpp-test-interlude	required	unit-0
1.2	core-12	5	03-map-clamp-and-lerp	required	none
1.2	core-12	6	04-vectors-direction-and-distance	required	none
1.2	core-12	7	05-oscillation-circles-and-phase	required	none
1.2	core-12	8	06-controlled-chance	required	none
1.2	core-12	9	07-local-coordinate-systems	required	none
1.2	core-12	10	08-gesture-as-geometry	required	unit-2
1.2	core-12	11	09-particles-with-memory	required	none
1.2	core-12	12	10-forces-steering-and-springs	required	none
1.2	core-12	13	11-noise-and-flow-fields	required	none
1.2	core-12	14	12-color-blending-and-trails	required	none
1.2	core-12	15	13-time-as-a-drawable-axis	optional	none
1.2	core-12	16	14-images-and-type-as-geometry	optional	none
1.2	core-12	17	15-embodied-audio-input	optional	none
1.2	core-12	18	16-three-cumulative-sketch-studies	required	none
1.2	core-12	19	17-original-visual-instrument-capstone	required	complete-path
1.2	accelerated-8-plus-2	1	00-cross-platform-setup-and-first-frame	required	none
1.2	accelerated-8-plus-2	2	01-a-mark-that-moves	required	none
1.2	accelerated-8-plus-2	3	02-python-to-cpp-survival-kit	required	none
1.2	accelerated-8-plus-2	4	00-first-cpp-test-interlude	required	unit-0
1.2	accelerated-8-plus-2	5	03-map-clamp-and-lerp	required	none
1.2	accelerated-8-plus-2	6	04-vectors-direction-and-distance	required	none
1.2	accelerated-8-plus-2	7	05-oscillation-circles-and-phase	required	none
1.2	accelerated-8-plus-2	8	06-controlled-chance	required	none
1.2	accelerated-8-plus-2	9	07-local-coordinate-systems	required	none
1.2	accelerated-8-plus-2	10	08-gesture-as-geometry	required	unit-2
1.2	accelerated-8-plus-2	11	09-particles-with-memory	required	none
1.2	accelerated-8-plus-2	12	10-forces-steering-and-springs	required	none
1.2	accelerated-8-plus-2	13	11-noise-and-flow-fields	required	none
1.2	accelerated-8-plus-2	14	12-color-blending-and-trails	required	none
1.2	accelerated-8-plus-2	15	13-time-as-a-drawable-axis	optional	none
1.2	accelerated-8-plus-2	16	14-images-and-type-as-geometry	optional	none
1.2	accelerated-8-plus-2	17	15-embodied-audio-input	optional	none
1.2	accelerated-8-plus-2	18	16-three-cumulative-sketch-studies	required	none
1.2	accelerated-8-plus-2	19	17-original-visual-instrument-capstone	required	complete-path
